"Customer.ID","Recency","Frequency","Monetary","R_Score","F_Score","M_Score","RFM_Score","Segment"
12423,23.3527777777778,2,763.08,3,2,3,"323","Others"
12424,58.3972222222222,2,1579.07,2,2,4,"224","Others"
12425,84.24375,1,964.21,1,1,3,"113","Others"
12426,298.472222222222,1,762.48,0,1,3,"013","Others"
12427,7.38680555555556,1,303.5,4,1,2,"412","Potential Loyalists"
12429,1.33055555555556,5,3735.51,4,4,5,"445","Champions"
12431,9.41527777777778,13,4370.52,4,5,5,"455","Champions"
12433,2.13333333333333,5,7205.39,4,4,5,"445","Champions"
12434,17.2659722222222,1,297.29,3,1,2,"312","Others"
12435,32.4125,4,6096.04,3,4,5,"345","Loyal Customers"
12437,31.21875,21,7731.99,3,5,5,"355","Loyal Customers"
12439,318.326388888889,2,1142.88,0,2,4,"024","Others"
12440,98.2847222222222,2,859.2,1,2,3,"123","Others"
12441,2.38611111111111,1,173.55,4,1,1,"411","Potential Loyalists"
12443,368.179861111111,1,485.31,0,1,2,"012","Others"
12445,56.3145833333333,1,301.58,2,1,2,"212","Others"
12449,46.3194444444444,2,768.6,2,2,3,"223","Others"
12450,35.1486111111111,3,490.32,3,3,2,"332","Loyal Customers"
12451,99.1826388888889,3,3634.36,1,3,5,"135","At Risk"
12454,31.4111111111111,4,13151.44,3,4,5,"345","Loyal Customers"
12455,81.2236111111111,4,3413.09,1,4,5,"145","At Risk"
12457,71.0847222222222,1,632.68,2,1,3,"213","Others"
12458,63.3506944444444,2,830.09,2,2,3,"223","Others"
12459,241.213888888889,1,454.36,0,1,2,"012","Others"
12460,92.2569444444444,1,326.65,1,1,2,"112","Others"
12466,318.149305555556,1,56.73,0,1,1,"011","Others"
12467,59.1805555555556,1,132.8,2,1,1,"211","Others"
12468,162.397916666667,3,2941.2,1,3,5,"135","At Risk"
12469,158.30625,2,3070.54,1,2,5,"125","Others"
12470,325.375,1,211.95,0,1,1,"011","Others"
12471,10.2263888888889,49,20129.54,4,5,5,"455","Champions"
12472,5.2375,13,11308.48,4,5,5,"455","Champions"
12474,14.3208333333333,13,5048.66,4,5,5,"455","Champions"
12475,45.4666666666667,1,426.26,2,1,2,"212","Others"
12476,32.4347222222222,12,7267.49,3,5,5,"355","Loyal Customers"
12477,35.4347222222222,3,7056.63,3,3,5,"335","Loyal Customers"
12480,35.2034722222222,3,2183.22,3,3,5,"335","Loyal Customers"
12481,1.40833333333333,6,6765.07,4,4,5,"445","Champions"
12482,212.131944444444,29,23691.4,0,5,5,"055","At Risk"
12483,14.3097222222222,11,2612.2,4,5,5,"455","Champions"
12484,119.261111111111,6,1826.78,1,4,4,"144","At Risk"
12485,165.19375,1,708.1,1,1,3,"113","Others"
12486,67.3243055555556,1,1037.28,2,1,4,"214","Others"
12487,366.350694444444,1,285.3,0,1,2,"012","Others"
12490,14.2395833333333,11,4405.71,4,5,5,"455","Champions"
12492,39.2104166666667,1,452,2,1,2,"212","Others"
12494,1.35416666666667,3,626.77,4,3,3,"433","Loyal Customers"
12495,276.380555555556,1,357.4,0,1,2,"012","Others"
12496,256.246527777778,2,45.34,0,2,1,"021","Others"
12497,36.3125,2,5205.4,2,2,5,"225","Others"
12499,196.200694444444,1,393.72,0,1,2,"012","Others"
12500,71.0527777777778,8,1697.39,2,5,4,"254","At Risk"
12503,220.251388888889,1,1126,0,1,4,"014","Others"
12504,53.2027777777778,2,297,2,2,2,"222","Others"
12505,44.4465277777778,1,955.2,2,1,3,"213","Others"
12507,220.443055555556,1,539.25,0,1,3,"013","Others"
12510,95.2319444444445,7,4195.45,1,5,5,"155","At Risk"
12511,64.3902777777778,1,3084.02,2,1,5,"215","Others"
12514,277.321527777778,1,580.08,0,1,3,"013","Others"
12516,66.4291666666667,2,1336.56,2,2,4,"224","Others"
12519,112.486111111111,1,385.7,1,1,2,"112","Others"
12523,10.3125,12,2562.58,4,5,5,"455","Champions"
12524,24.4534722222222,9,6640.39,3,5,5,"355","Loyal Customers"
12525,134.161805555556,3,973.73,1,3,3,"133","At Risk"
12527,130.318055555556,2,386.8,1,2,2,"122","Others"
12529,164.285416666667,1,316.48,1,1,2,"112","Others"
12530,51.1986111111111,5,2096.98,2,4,4,"244","At Risk"
12531,322.238888888889,1,1807.98,0,1,4,"014","Others"
12533,263.378472222222,2,1367.89,0,2,4,"024","Others"
12537,44.4756944444444,1,732.94,2,1,3,"213","Others"
12538,14.2909722222222,1,276.5,4,1,2,"412","Potential Loyalists"
12539,86.4243055555555,3,5646.4,1,3,5,"135","At Risk"
12540,14.3875,16,8854.25,4,5,5,"455","Champions"
12542,120.034027777778,2,481.88,1,2,2,"122","Others"
12543,84.1736111111111,1,980.25,1,1,3,"113","Others"
12547,136.254166666667,1,175.78,1,1,1,"111","Others"
12549,211.330555555556,6,1575.68,0,4,4,"044","At Risk"
12553,21.3215277777778,2,916.47,3,2,3,"323","Others"
12554,84.3138888888889,1,468.5,1,1,2,"112","Others"
12555,318.149305555556,1,129.23,0,1,1,"011","Others"
12557,7.32013888888889,4,6725.18,4,4,5,"445","Champions"
12562,21.4347222222222,2,1185.18,3,2,4,"324","Others"
12563,44.4229166666667,1,249.24,2,1,1,"211","Others"
12567,3.39236111111111,7,4308.58,4,5,5,"455","Champions"
12568,280.448611111111,1,70,0,1,1,"011","Others"
12570,318.10625,1,77.52,0,1,1,"011","Others"
12573,17.2916666666667,4,556.87,3,4,3,"343","Loyal Customers"
12575,93.2861111111111,2,622.82,1,2,3,"123","Others"
12576,28.3034722222222,3,826.89,3,3,3,"333","Loyal Customers"
12577,17.2465277777778,5,990.5,3,4,4,"344","Loyal Customers"
12578,21.1111111111111,2,1847.94,3,2,4,"324","Others"
12580,212.344444444444,1,637.2,0,1,3,"013","Others"
12582,58.38125,2,1469.04,2,2,4,"224","Others"
12583,9.46944444444444,13,7166.06,4,5,5,"455","Champions"
12586,10.3847222222222,3,1865.73,4,3,4,"434","Loyal Customers"
12588,35.2972222222222,3,743.88,3,3,3,"333","Loyal Customers"
12589,57.3381944444444,6,4048.98,2,4,5,"245","At Risk"
12591,26.2284722222222,2,886.1,3,2,3,"323","Others"
12592,155.232638888889,3,2145.06,1,3,5,"135","At Risk"
12594,14.3222222222222,5,1751.89,4,4,4,"444","Champions"
12595,140.452083333333,1,299.02,1,1,2,"112","Others"
12598,99.2354166666667,3,1511.01,1,3,4,"134","At Risk"
12599,17.175,6,1264.14,3,4,4,"344","Loyal Customers"
12600,7.29444444444444,12,2444.88,4,5,5,"455","Champions"
12601,40.3777777777778,1,104.2,2,1,1,"211","Others"
12605,12.2381944444444,4,1232.95,4,4,4,"444","Champions"
12606,318.151388888889,1,21,0,1,1,"011","Others"
12608,40.3833333333333,1,415.79,2,1,2,"212","Others"
12609,10.2173611111111,6,2309.01,4,4,5,"445","Champions"
12613,24.1138888888889,5,3472.99,3,4,5,"345","Loyal Customers"
12615,49.4277777777778,4,3449.79,2,4,5,"245","At Risk"
12616,24.3493055555556,1,417.8,3,1,2,"312","Others"
12619,196.297916666667,1,140.14,0,1,1,"011","Others"
12621,1.40625,16,11086.14,4,5,5,"455","Champions"
12623,52.4347222222222,6,3442.74,2,4,5,"245","At Risk"
12625,145.170138888889,2,2481.06,1,2,5,"125","Others"
12629,21.4465277777778,2,1558.22,3,2,4,"324","Others"
12631,92.2159722222222,5,2841.07,1,4,5,"145","At Risk"
12632,156.431944444444,2,804.88,1,2,3,"123","Others"
12633,18.2861111111111,3,3514.18,3,3,5,"335","Loyal Customers"
12634,171.413888888889,2,490,1,2,2,"122","Others"
12635,28.1770833333333,2,1241.23,3,2,4,"324","Others"
12636,374.420833333333,1,141,0,1,1,"011","Others"
12637,14.2576388888889,4,2280.91,4,4,5,"445","Champions"
12638,275.396527777778,1,249.8,0,1,1,"011","Others"
12639,70.3222222222222,2,826.27,2,2,3,"223","Others"
12643,21.3048611111111,6,4960.18,3,4,5,"345","Loyal Customers"
12644,66.4013888888889,3,1440.58,2,3,4,"234","At Risk"
12645,45.0534722222222,4,1764.12,2,4,4,"244","At Risk"
12647,3.31458333333333,27,14201.53,4,5,5,"455","Champions"
12648,73.3930555555555,3,793.95,1,3,3,"133","At Risk"
12649,18.2944444444444,5,1671.14,3,4,4,"344","Loyal Customers"
12651,14.3354166666667,3,263.75,4,3,2,"432","Loyal Customers"
12652,70.1979166666667,1,97.05,2,1,1,"211","Others"
12653,162.420138888889,1,1950.98,1,1,4,"114","Others"
12655,59.4472222222222,1,261.35,2,1,2,"212","Others"
12656,61.3875,3,2356.66,2,3,5,"235","At Risk"
12661,72.1354166666667,1,162,1,1,1,"111","Others"
12662,9.28958333333333,10,3138.24,4,5,5,"455","Champions"
12663,260.43125,2,239.4,0,2,1,"021","Others"
12664,150.272916666667,2,1188.16,1,2,4,"124","Others"
12665,53.3520833333333,2,250.6,2,2,1,"221","Others"
12666,30.1395833333333,1,1248.42,3,1,4,"314","Others"
12668,14.3423611111111,6,7575.88,4,4,5,"445","Champions"
12670,21.4138888888889,2,764.24,3,2,3,"323","Others"
12671,242.146527777778,1,2622.481,0,1,5,"015","Others"
12672,231.419444444444,1,211.15,0,1,1,"011","Others"
12673,37.3854166666667,1,619.5,2,1,3,"213","Others"
12675,189.425,2,957.25,0,2,3,"023","Others"
12676,44.4340277777778,5,1511.7,2,4,4,"244","At Risk"
12677,191.229861111111,2,395.1,0,2,2,"022","Others"
12678,11.4208333333333,9,16652.72,4,5,5,"455","Champions"
12681,3.41180555555556,24,17080.74,4,5,5,"455","Champions"
12682,1.21666666666667,23,11745.69,4,5,5,"455","Champions"
12683,1.32222222222222,8,4220.21,4,5,5,"455","Champions"
12686,7.42361111111111,1,89.14,4,1,1,"411","Potential Loyalists"
12687,116.325694444444,2,2138.91,1,2,4,"124","Others"
12691,56.3340277777778,1,134.6,2,1,1,"211","Others"
12692,273.249305555556,1,110.95,0,1,1,"011","Others"
12693,32.2111111111111,3,847.11,3,3,3,"333","Loyal Customers"
12694,57.0152777777778,1,973.68,2,1,3,"213","Others"
12695,164.159027777778,3,825.02,1,3,3,"133","At Risk"
12696,70.3875,2,851.91,2,2,3,"223","Others"
12698,226.173611111111,1,339.75,0,1,2,"012","Others"
12699,53.3291666666667,1,638.11,2,1,3,"213","Others"
12701,165.261805555556,4,1648.7,1,4,4,"144","At Risk"
12703,269.277083333333,3,722.98,0,3,3,"033","At Risk"
12705,19.2513888888889,5,4893.81,3,4,5,"345","Loyal Customers"
12708,4.3875,9,2601.19,4,5,5,"455","Champions"
12709,2.425,20,21107.94,4,5,5,"455","Champions"
12711,247.334722222222,2,1339.05,0,2,4,"024","Others"
12712,1.34861111111111,10,2797.53,4,5,5,"455","Champions"
12714,24.0770833333333,7,9384.85,3,5,5,"355","Loyal Customers"
12717,226.227083333333,1,277.93,0,1,2,"012","Others"
12720,5.19444444444444,6,2478.94,4,4,5,"445","Champions"
12721,21.2,2,1356.95,3,2,4,"324","Others"
12724,19.2743055555556,3,1286.11,3,3,4,"334","Loyal Customers"
12725,7.17777777777778,4,2266.76,4,4,5,"445","Champions"
12726,23.1263888888889,4,1405.5,3,4,4,"344","Loyal Customers"
12727,78.3861111111111,3,1698.83,1,3,4,"134","At Risk"
12728,19.3520833333333,1,233.84,3,1,1,"311","Others"
12730,157.320833333333,1,829.25,1,1,3,"113","Others"
12731,78.2006944444445,5,6879.8,1,4,5,"145","At Risk"
12733,25.2534722222222,3,2040.92,3,3,4,"334","Loyal Customers"
12734,10.3722222222222,2,529.25,4,2,3,"423","Potential Loyalists"
12737,134.313888888889,2,3710.5,1,2,5,"125","Others"
12738,8.06527777777778,1,155.35,4,1,1,"411","Potential Loyalists"
12739,21.4298611111111,2,1713.69,3,2,4,"324","Others"
12741,165.225694444444,2,406.07,1,2,2,"122","Others"
12742,261.304166666667,1,1201.52,0,1,4,"014","Others"
12744,95.4006944444444,4,4037.77,1,4,5,"145","At Risk"
12745,122.407638888889,3,925.41,1,3,3,"133","At Risk"
12746,176.388888888889,1,254.55,0,1,2,"012","Others"
12747,5.18263888888889,16,5061.03,4,5,5,"455","Champions"
12748,1.27708333333333,144,22457.9,4,5,5,"455","Champions"
12749,35.2534722222222,4,2806.48,3,4,5,"345","Loyal Customers"
12751,80.3,1,268.27,1,1,2,"112","Others"
12755,1.38680555555556,10,5218.71,4,5,5,"455","Champions"
12758,95.2909722222222,5,7111.65,1,4,5,"145","At Risk"
12759,22.0326388888889,5,3489.3,3,4,5,"345","Loyal Customers"
12760,91.4659722222222,1,347.8,1,1,2,"112","Others"
12761,93.3222222222222,2,782.95,1,2,3,"123","Others"
12763,5.17708333333333,1,320.08,4,1,2,"412","Potential Loyalists"
12765,108.256944444444,6,1404.58,1,4,4,"144","At Risk"
12766,2.25555555555556,3,3078.65,4,3,5,"435","Loyal Customers"
12767,11.4326388888889,1,949.82,4,1,3,"413","Potential Loyalists"
12768,86.3284722222222,1,168.69,1,1,1,"111","Others"
12770,92.3458333333333,1,1895,1,1,4,"114","Others"
12771,121.340277777778,1,282.3,1,1,2,"112","Others"
12773,200.104861111111,1,124.25,0,1,1,"011","Others"
12774,171.390972222222,1,98.7,1,1,1,"111","Others"
12775,24.1993055555556,2,300.08,3,2,2,"322","Others"
12776,303.326388888889,1,55.5,0,1,1,"011","Others"
12777,93.3513888888889,1,519.45,1,1,3,"113","Others"
12778,32.3819444444444,3,953.45,3,3,3,"333","Loyal Customers"
12779,7.26458333333333,7,2740.91,4,5,5,"455","Champions"
12780,234.43125,1,337.4,0,1,2,"012","Others"
12782,10.35,6,2287.32,4,4,5,"445","Champions"
12784,165.288194444444,1,1230.33,1,1,4,"114","Others"
12785,171.322916666667,2,788.45,1,2,3,"123","Others"
12786,245.325694444444,1,728.5,0,1,3,"013","Others"
12787,49.2111111111111,1,398.52,2,1,2,"212","Others"
12788,99.2361111111111,4,444.9,1,4,2,"142","At Risk"
12789,148.304166666667,2,181.5,1,2,1,"121","Others"
12790,46.2895833333333,1,266.93,2,1,2,"212","Others"
12791,9.35694444444444,6,863.51,4,4,3,"443","Loyal Customers"
12792,170.383333333333,1,426.47,1,1,2,"112","Others"
12793,7.19930555555556,2,471.85,4,2,2,"422","Potential Loyalists"
12796,264.175,1,381,0,1,2,"012","Others"
12797,1.37916666666667,2,552.08,4,2,3,"423","Potential Loyalists"
12798,57.3152777777778,1,1533.89,2,1,4,"214","Others"
12799,165.169444444444,1,219.35,1,1,1,"111","Others"
12800,106.243055555556,3,584.25,1,3,3,"133","At Risk"
12801,136.432638888889,1,1071.82,1,1,4,"114","Others"
12802,78.4013888888889,6,1988.84,1,4,4,"144","At Risk"
12803,29.2111111111111,1,1092.81,3,1,4,"314","Others"
12804,101.335416666667,2,325.37,1,2,2,"122","Others"
12805,17.3152777777778,4,1434.95,3,4,4,"344","Loyal Customers"
12806,71.26875,4,2878.96,1,4,5,"145","At Risk"
12807,19.2361111111111,1,330.35,3,1,2,"312","Others"
12808,4.39861111111111,3,422.45,4,3,2,"432","Loyal Customers"
12809,201.370138888889,2,1266.63,0,2,4,"024","Others"
12810,170.380555555556,2,534.99,1,2,3,"123","Others"
12811,14.425,2,519.05,4,2,3,"423","Potential Loyalists"
12813,137.424305555556,3,1687.8,1,3,4,"134","At Risk"
12817,35.48125,2,524.94,3,2,3,"323","Others"
12819,94.1951388888889,1,540.52,1,1,3,"113","Others"
12820,33.2326388888889,7,1747.18,3,5,4,"354","Loyal Customers"
12821,247.199305555556,1,128.08,0,1,1,"011","Others"
12823,30.31875,13,4742,3,5,5,"355","Loyal Customers"
12825,157.253472222222,2,518.63,1,2,3,"123","Others"
12826,1.19444444444444,6,1481.03,4,4,4,"444","Champions"
12829,186.20625,1,92.3,0,1,1,"011","Others"
12831,99.1673611111111,2,236.06,1,2,1,"121","Others"
12835,63.3763888888889,41,5996.83,2,5,5,"255","At Risk"
12836,25.1520833333333,11,3949.37,3,5,5,"355","Loyal Customers"
12837,205.202083333333,1,528.56,0,1,3,"013","Others"
12838,9.33611111111111,9,2694.75,4,5,5,"455","Champions"
12839,3.17569444444444,13,4480.31,4,5,5,"455","Champions"
12840,73.0854166666667,3,1315.2,1,3,4,"134","At Risk"
12841,5.32361111111111,17,3472.61,4,5,5,"455","Champions"
12842,40.3861111111111,2,799,2,2,3,"223","Others"
12843,18.2708333333333,22,4881.1,3,5,5,"355","Loyal Customers"
12844,78.1513888888889,2,322.64,1,2,2,"122","Others"
12846,318.147222222222,1,15.58,0,1,1,"011","Others"
12847,23.3034722222222,1,765.36,3,1,3,"313","Others"
12848,311.302777777778,1,208,0,1,1,"011","Others"
12849,17.3472222222222,4,2032.18,3,4,4,"344","Loyal Customers"
12850,81.3159722222222,1,330,1,1,2,"112","Others"
12851,113.2,1,148.95,1,1,1,"111","Others"
12853,63.2152777777778,5,1950.4,2,4,4,"244","At Risk"
12854,197.129861111111,4,1654.72,0,4,4,"044","At Risk"
12855,8.43333333333333,4,612.84,4,4,3,"443","Loyal Customers"
12857,72.1333333333333,4,2581.6,1,4,5,"145","At Risk"
12858,19.2958333333333,1,147.27,3,1,1,"311","Others"
12859,94.3201388888889,1,575.1,1,1,3,"113","Others"
12860,329.19375,1,54.22,0,1,1,"011","Others"
12861,255.348611111111,1,68.25,0,1,1,"011","Others"
12862,61.3430555555556,2,984.62,2,2,3,"223","Others"
12863,15.0930555555556,5,2271.35,4,4,5,"445","Champions"
12864,144.110416666667,1,152.45,1,1,1,"111","Others"
12865,14.1833333333333,2,1755.24,4,2,4,"424","Potential Loyalists"
12866,110.175694444444,2,668.23,1,2,3,"123","Others"
12867,33.1875,6,3819.92,3,4,5,"345","Loyal Customers"
12868,9.29930555555556,3,640,4,3,3,"433","Loyal Customers"
12869,317.327083333333,1,337.67,0,1,2,"012","Others"
12870,11.2631944444444,3,1676.95,4,3,4,"434","Loyal Customers"
12871,75.39375,1,363.38,1,1,2,"112","Others"
12872,1.22013888888889,11,3062.52,4,5,5,"455","Champions"
12873,33.3652777777778,2,1653.3,3,2,4,"324","Others"
12874,21.1930555555556,2,948.42,3,2,3,"323","Others"
12875,107.226388888889,3,1013.76,1,3,4,"134","At Risk"
12876,30.3194444444444,2,1863.77,3,2,4,"324","Others"
12877,37.2555555555556,8,1406.37,2,5,4,"254","At Risk"
12880,17.3826388888889,2,640.13,3,2,3,"323","Others"
12887,19.3631944444444,1,222.4,3,1,1,"311","Others"
12889,17.1618055555556,4,385.46,3,4,2,"342","Loyal Customers"
12890,23.2465277777778,1,329.3,3,1,2,"312","Others"
12891,94.1875,8,509.5,1,5,3,"153","At Risk"
12892,32.4236111111111,1,263.38,3,1,2,"312","Others"
12894,211.218055555556,1,157.35,0,1,1,"011","Others"
12897,17.2722222222222,2,297.75,3,2,2,"322","Others"
12898,99.4951388888889,2,296.21,1,2,2,"122","Others"
12899,49.4222222222222,1,366.4,2,1,2,"212","Others"
12900,58.1972222222222,1,340.33,2,1,2,"212","Others"
12903,64.3069444444444,1,833.53,2,1,3,"213","Others"
12905,212.413888888889,2,1018.42,0,2,4,"024","Others"
12907,31.3284722222222,2,508.91,3,2,3,"323","Others"
12908,16.4388888888889,3,1026,3,3,4,"334","Loyal Customers"
12909,60.4284722222222,3,924.52,2,3,3,"233","At Risk"
12910,15.3152777777778,5,2721.48,3,4,5,"345","Loyal Customers"
12911,187.325,1,1651.72,0,1,4,"014","Others"
12913,4.14236111111111,9,4217.23,4,5,5,"455","Champions"
12914,36.3145833333333,1,223.98,2,1,1,"211","Others"
12915,8.31111111111111,3,811.1,4,3,3,"433","Loyal Customers"
12916,78.3361111111111,3,1534.78,1,3,4,"134","At Risk"
12917,36.1701388888889,5,3765.2,2,4,5,"245","At Risk"
12918,262.19375,1,10953.5,0,1,5,"015","Others"
12920,207.294444444444,3,323.86,0,3,2,"032","At Risk"
12921,2.40763888888889,39,19333.95,4,5,5,"455","Champions"
12923,26.28125,2,597.6,3,2,3,"323","Others"
12924,29.1944444444444,8,1535.7,3,5,4,"354","Loyal Customers"
12925,228.395138888889,1,35.28,0,1,1,"011","Others"
12926,47.1694444444444,4,1523.97,2,4,4,"244","At Risk"
12927,30.4159722222222,1,197.31,3,1,1,"311","Others"
12928,14.1722222222222,7,2242.19,4,5,5,"455","Champions"
12931,16.4111111111111,42,50291.38,3,5,5,"355","Loyal Customers"
12932,175.235416666667,8,1698.56,1,5,4,"154","At Risk"
12933,16.1180555555556,5,1029.1,3,4,4,"344","Loyal Customers"
12934,372.381944444444,1,181.65,0,1,1,"011","Others"
12935,11.2541666666667,8,2083.16,4,5,4,"454","Champions"
12937,99.1666666666667,5,1593.34,1,4,4,"144","At Risk"
12939,15.2159722222222,12,13683,4,5,5,"455","Champions"
12941,360.284027777778,1,377.49,0,1,2,"012","Others"
12942,1.43541666666667,1,258.75,4,1,2,"412","Potential Loyalists"
12943,194.25625,2,496.5,0,2,2,"022","Others"
12945,292.196527777778,1,437.16,0,1,2,"012","Others"
12946,72.4076388888889,1,324.45,1,1,2,"112","Others"
12947,9.15277777777778,1,304.04,4,1,2,"412","Potential Loyalists"
12948,366.34375,2,252.48,0,2,2,"022","Others"
12949,18.1777777777778,14,11359.48,3,5,5,"355","Loyal Customers"
12951,22.3263888888889,9,2149.65,3,5,5,"355","Loyal Customers"
12953,158.266666666667,1,498.96,1,1,2,"112","Others"
12954,274.40625,1,162.45,0,1,1,"011","Others"
12956,320.394444444444,3,413.82,0,3,2,"032","At Risk"
12957,177.4625,5,4689.43,0,4,5,"045","At Risk"
12958,36.15625,2,467.34,3,2,2,"322","Others"
12959,120.111805555556,1,150.95,1,1,1,"111","Others"
12960,49.4375,4,1322.07,2,4,4,"244","At Risk"
12961,15.1368055555556,1,211.99,4,1,1,"411","Potential Loyalists"
12963,1.44930555555556,5,1744.96,4,4,4,"444","Champions"
12964,73.0930555555556,1,132.24,1,1,1,"111","Others"
12967,7.425,2,2646.02,4,2,5,"425","Potential Loyalists"
12969,238.382638888889,1,122.45,0,1,1,"011","Others"
12970,16.2868055555556,6,1048.13,3,4,4,"344","Loyal Customers"
12971,2.15277777777778,33,4782.88,4,5,5,"455","Champions"
12972,49.4722222222222,4,1161.2,2,4,4,"244","At Risk"
12973,49.4076388888889,1,385.55,2,1,2,"212","Others"
12974,201.344444444444,1,264.15,0,1,2,"012","Others"
12975,72.4270833333333,6,2100.09,1,4,4,"144","At Risk"
12976,14.2152777777778,7,2417.78,4,5,5,"455","Champions"
12977,137.310416666667,3,474.64,1,3,2,"132","At Risk"
12978,21.2305555555556,5,2502.82,3,4,5,"345","Loyal Customers"
12979,365.177777777778,1,517.7,0,1,3,"013","Others"
12980,22.2291666666667,12,8870.88,3,5,5,"355","Loyal Customers"
12982,30.4659722222222,7,2354.27,3,5,5,"355","Loyal Customers"
12983,234.29375,1,490.08,0,1,2,"012","Others"
12986,64.3361111111111,10,2729.84,2,5,5,"255","At Risk"
12987,56.2590277777778,3,753.51,2,3,3,"233","At Risk"
12989,60.3090277777778,18,6627.64,2,5,5,"255","At Risk"
12990,53.4618055555556,4,546,2,4,3,"243","At Risk"
12991,25.2625,1,261.06,3,1,2,"312","Others"
12992,361.135416666667,1,93.35,0,1,1,"011","Others"
12993,81.2861111111111,4,844.87,1,4,3,"143","At Risk"
12996,11.4402777777778,1,355.5,4,1,2,"412","Potential Loyalists"
12997,30.3229166666667,4,884.02,3,4,3,"343","Loyal Customers"
12998,128.497222222222,3,920.08,1,3,3,"133","At Risk"
13000,361.123611111111,1,497.65,0,1,2,"012","Others"
13001,40.2826388888889,20,14256.68,2,5,5,"255","At Risk"
13002,52.3180555555556,2,293.18,2,2,2,"222","Others"
13004,22.0368055555556,18,5994.94,3,5,5,"355","Loyal Customers"
13005,67.3708333333333,2,485.98,2,2,2,"222","Others"
13007,215.390972222222,1,175.25,0,1,1,"011","Others"
13008,33.39375,2,382.66,3,2,2,"322","Others"
13009,308.31875,1,234,0,1,1,"011","Others"
13010,10.2027777777778,2,330.12,4,2,2,"422","Potential Loyalists"
13011,8.11041666666667,1,50.55,4,1,1,"411","Potential Loyalists"
